Resultado final
Endossibionte 0 (127) : (20,35) (20,42) (17,42) (17,30) (5,30) (5,34) (18,34) (18,24) (1,24) (1,2) (2,26) (3,26) (3,4) (4,25) (25,28) (28,38) (9,38) (9,13) (13,15) (15,16) (16,45) (43,45) (22,43) (22,36) (36,40) (40,41) (14,41) (14,37) (23,37) (10,23) (10,11) (0,11) (0,33) (33,47) (47,48) (32,48) (6,32) (6,7) (7,21) (21,27) (27,39) (39,44) (19,44) (19,29) (8,29) (8,49) (46,49) (31,46) (12,31) (12,35) 
Endossibionte 1 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 2 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 3 (118) : (12,31) (31,46) (46,49) (8,49) (8,29) (19,29) (19,44) (39,44) (27,39) (27,40) (36,40) (36,37) (23,37) (16,23) (16,45) (10,45) (3,10) (3,26) (26,38) (28,38) (25,28) (15,25) (13,15) (9,13) (9,21) (7,21) (6,7) (6,32) (32,48) (47,48) (43,47) (22,43) (14,22) (14,41) (35,41) (20,35) (20,42) (17,42) (17,30) (5,30) (5,34) (18,34) (18,24) (1,24) (1,11) (0,11) (0,33) (4,33) (2,4) (2,12) 
Endossibionte 4 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 5 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 6 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 7 (91) : (2,26) (2,18) (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) 
Endossibionte 8 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
Endossibionte 9 (106) : (7,21) (9,21) (9,13) (13,15) (14,15) (14,41) (40,41) (34,40) (33,34) (4,33) (4,44) (39,44) (27,39) (27,49) (8,49) (8,29) (19,29) (17,19) (17,46) (31,46) (24,31) (18,24) (18,47) (47,48) (0,48) (0,6) (6,32) (12,32) (12,20) (11,20) (1,11) (1,35) (35,45) (16,45) (10,16) (3,10) (3,42) (42,43) (22,43) (22,36) (28,36) (25,28) (2,25) (2,26) (26,38) (23,38) (23,37) (30,37) (5,30) (5,7) 
Endossibionte 10 (91) : (18,47) (47,48) (13,48) (9,13) (9,21) (7,21) (6,7) (6,32) (12,32) (12,20) (11,20) (0,11) (0,42) (42,43) (22,43) (22,36) (1,36) (1,24) (24,31) (31,46) (17,46) (17,30) (30,37) (23,37) (23,38) (28,38) (25,28) (4,25) (4,33) (19,33) (19,44) (39,44) (27,39) (5,27) (5,34) (34,40) (40,41) (14,41) (14,15) (15,49) (8,49) (8,29) (29,35) (35,45) (16,45) (10,16) (3,10) (3,26) (2,26) (2,18) 
